Title,MLM_Sentence
Supply Chain Managers,"[MASK] direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety."
Compensation and Benefits Managers,"[MASK] plan, direct, or coordinate compensation and benefits activities of an organization."
Human Resources Managers,"[MASK] plan, direct, or coordinate human resources activities and staff of an organization."
Training and Development Managers,"[MASK] plan, direct, or coordinate the training and development activities and staff of an organization."
"Farmers, Ranchers, and Other Agricultural Managers","[MASK] plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments."
Construction Managers,"[MASK] plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems."
"Education and Childcare Administrators, Preschool and Daycare","[MASK] plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care."
"Education Administrators, Kindergarten through Secondary","[MASK] plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools."
"Education Administrators, Postsecondary","[MASK] plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges."
"Education Administrators, All Other",[MASK] all education administrators not listed separately.
Architectural and Engineering Managers,"[MASK] plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields."
Biofuels/Biodiesel Technology and Product Development Managers,"[MASK] define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential."
Food Service Managers,"[MASK] plan, direct, or coordinate activities of an organization or department that serves food and beverages."
Gambling Managers,"[MASK] plan, direct, or coordinate gambling operations in a casino."
"Entertainment and Recreation Managers, Except Gambling","[MASK] plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks."
Lodging Managers,"[MASK] plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations."
Medical and Health Services Managers,"[MASK] plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations."
Natural Sciences Managers,"[MASK] plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields."
Clinical Research Coordinators,"[MASK] plan, direct, or coordinate clinical research projects."
Water Resource Specialists,"[MASK] design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues."
Postmasters and Mail Superintendents,"[MASK] plan, direct, or coordinate operational, administrative, management, and support services of a U.S."
"Property, Real Estate, and Community Association Managers","[MASK] plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties."
Social and Community Service Managers,"[MASK] plan, direct, or coordinate the activities of a social service program or community outreach organization."
Emergency Management Directors,"[MASK] plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations."
Funeral Home Managers,"[MASK] plan, direct, or coordinate the services or resources of funeral homes."
"Personal Service Managers, All Other",[MASK] all personal service managers not listed separately.
Fitness and Wellness Coordinators,[MASK] manage or coordinate fitness and wellness programs and services.
Spa Managers,"[MASK] plan, direct, or coordinate activities of a spa facility."
"Managers, All Other",[MASK] all managers not listed separately.
Regulatory Affairs Managers,"[MASK] plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures."
Compliance Managers,"[MASK] plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards."
Loss Prevention Managers,"[MASK] plan and direct policies, procedures, or systems to prevent the loss of assets."
Wind Energy Operations Managers,"[MASK] manage wind field operations, including personnel, maintenance activities, financial activities, and planning."
Wind Energy Development Managers,"[MASK] lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals."
Brownfield Redevelopment Specialists and Site Managers,[MASK] plan and direct cleanup and redevelopment of contaminated properties for reuse.
"Agents and Business Managers of Artists, Performers, and Athletes","[MASK] represent and promote artists, performers, and athletes in dealings with current or prospective employers."
"Buyers and Purchasing Agents, Farm Products",[MASK] purchase farm products either for further processing or resale.
"Wholesale and Retail Buyers, Except Farm Products","[MASK] buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods."
"Purchasing Agents, Except Wholesale, Retail, and Farm Products","[MASK] purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment."
"Claims Adjusters, Examiners, and Investigators",[MASK] review settled claims to determine that payments and settlements are made in accordance with company practices and procedures.
"Insurance Appraisers, Auto Damage",[MASK] appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement.
Compliance Officers,"[MASK] examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere."
Environmental Compliance Inspectors,"[MASK] inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances."
Equal Opportunity Representatives and Officers,"[MASK] monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability."
Government Property Inspectors and Investigators,[MASK] investigate or inspect government property to ensure compliance with contract agreements and government regulations.
Coroners,"[MASK] direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths."
Regulatory Affairs Specialists,"[MASK] coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations."
Customs Brokers,[MASK] prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods.
Cost Estimators,"[MASK] prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service."
Human Resources Specialists,"[MASK] recruit, screen, interview, or place individuals within an organization."
Farm Labor Contractors,[MASK] recruit and hire seasonal or temporary agricultural laborers.
Labor Relations Specialists,"[MASK] resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints."
Logisticians,[MASK] analyze and coordinate the ongoing logistical functions of a firm or organization.
Logistics Engineers,"[MASK] design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management."
Logistics Analysts,[MASK] analyze product delivery or supply chain processes to identify or recommend changes.
Project Management Specialists,"[MASK] analyze and coordinate the schedule, timeline, procurement, staffing, and budget of a product or service on a per project basis."
Management Analysts,"[MASK] conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively."
"Meeting, Convention, and Event Planners","[MASK] coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions."
Fundraisers,[MASK] organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for an organization.
"Compensation, Benefits, and Job Analysis Specialists",[MASK] conduct programs of compensation and benefits and job analysis for employer.
Training and Development Specialists,[MASK] design or conduct work-related training and development programs to improve individual skills or organizational performance.
Market Research Analysts and Marketing Specialists,"[MASK] research conditions in local, regional, national, or online markets."
Search Marketing Strategists,"[MASK] employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces."
"Business Operations Specialists, All Other",[MASK] all business operations specialists not listed separately.
Business Continuity Planners,"[MASK] develop, maintain, or implement business continuity and disaster recovery strategies and solutions, including risk assessments, business impact analyses, strategy selection, and documentation of business continuity and disaster recovery procedures."
Sustainability Specialists,"[MASK] address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans."
Online Merchants,[MASK] conduct retail activities of businesses operating exclusively online.
Security Management Specialists,"[MASK] conduct security assessments for organizations, and design security systems and processes."
Accountants and Auditors,"[MASK] examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others."
Appraisers of Personal and Business Property,"[MASK] appraise and estimate the fair value of tangible personal or business property, such as jewelry, art, antiques, collectibles, and equipment."
Appraisers and Assessors of Real Estate,"[MASK] appraise real estate, exclusively, and estimate its fair value."
Budget Analysts,"[MASK] examine budget estimates for completeness, accuracy, and conformance with procedures and regulations."
Credit Analysts,[MASK] analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money.
Financial and Investment Analysts,"[MASK] conduct quantitative analyses of information involving investment programs or financial data of public or private institutions, including valuation of businesses."
Personal Financial Advisors,"[MASK] advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate."
Insurance Underwriters,[MASK] review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.
Financial Risk Specialists,"[MASK] analyze and measure exposure to credit and market risk threatening the assets, earning capacity, or economic state of an organization."
Financial Examiners,[MASK] enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions.
Credit Counselors,[MASK] advise and educate individuals or organizations on acquiring and managing debt.
Loan Officers,"[MASK] evaluate, authorize, or recommend approval of commercial, real estate, or credit loans."
"Tax Examiners and Collectors, and Revenue Agents",[MASK] determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.
Tax Preparers,[MASK] prepare tax returns for individuals or small businesses.
"Financial Specialists, All Other",[MASK] all financial specialists not listed separately.
Financial Quantitative Analysts,"[MASK] develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments."
"Fraud Examiners, Investigators and Analysts","[MASK] obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations."
Computer Systems Analysts,"[MASK] analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns."
Health Informatics Specialists,"[MASK] apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems."
Information Security Analysts,"[MASK] plan, implement, upgrade, or monitor security measures for the protection of computer networks and information."
Computer and Information Research Scientists,"[MASK] conduct research into fundamental computer and information science as theorists, designers, or inventors."
Computer Network Support Specialists,"[MASK] analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks."
Computer User Support Specialists,[MASK] provide technical assistance to computer users.
Computer Network Architects,"[MASK] design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks."
Telecommunications Engineering Specialists,"[MASK] design or configure wired, wireless, and satellite communications systems for voice, video, and data services."
Database Administrators,"[MASK] administer, test, and implement computer databases, applying knowledge of database management systems."
Database Architects,"[MASK] design strategies for enterprise databases, data warehouse systems, and multidimensional networks."
Data Warehousing Specialists,"[MASK] design, model, or implement corporate data warehousing activities."
Network and Computer Systems Administrators,"[MASK] install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers."
Computer Programmers,"[MASK] create, modify, and test the code and scripts that allow computer applications to run."
Software Developers,"[MASK] research, design, and develop computer and network software or specialized utility programs."
Software Quality Assurance Analysts and Testers,[MASK] develop and execute software tests to identify software problems and their causes.
Web Developers,"[MASK] develop and implement websites, web applications, application databases, and interactive web interfaces."
Web and Digital Interface Designers,[MASK] design digital user interfaces or websites.
Video Game Designers,[MASK] design core features of video games.
"Computer Occupations, All Other",[MASK] all computer occupations not listed separately.
Web Administrators,"[MASK] manage web environment design, deployment, development and maintenance activities."
Geographic Information Systems Technologists and Technicians,"[MASK] assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases."
Document Management Specialists,"[MASK] implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents."
Penetration Testers,[MASK] evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques.
Information Security Engineers,[MASK] develop and oversee the implementation of information security procedures and policies.
Digital Forensics Analysts,"[MASK] conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents."
Blockchain Engineers,"[MASK] maintain and support distributed and decentralized blockchain-based networks or block-chain applications such as cryptocurrency exchange, payment processing, document sharing, and digital voting."
Computer Systems Engineers/Architects,"[MASK] design and develop solutions to complex applications problems, system administration issues, or network concerns."
Information Technology Project Managers,"[MASK] plan, initiate, and manage information technology (IT) projects."
Actuaries,"[MASK] analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits."
Mathematicians,"[MASK] conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields."
Operations Research Analysts,"[MASK] formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions."
Statisticians,"[MASK] develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information."
Biostatisticians,[MASK] develop and apply biostatistical theory and methods to the study of life sciences.
Data Scientists,[MASK] develop and implement a set of techniques or analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software.
Business Intelligence Analysts,[MASK] produce financial and market intelligence by querying data repositories and generating periodic reports.
Clinical Data Managers,"[MASK] apply knowledge of health care and database management to analyze clinical data, and to identify and report trends."
"Mathematical Science Occupations, All Other",[MASK] all mathematical scientists not listed separately.
Bioinformatics Technicians,"[MASK] apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics."
"Architects, Except Landscape and Naval","[MASK] plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property."
Landscape Architects,"[MASK] plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites."
Cartographers and Photogrammetrists,"[MASK] research, study, and prepare maps and other spatial data in digital or graphic form for one or more purposes, such as legal, social, political, educational, and design purposes."
Surveyors,[MASK] make exact measurements and determine property boundaries.
Geodetic Surveyors,"[MASK] measure large areas of the Earth's surface using satellite observations, global navigation satellite systems (GNSS), light detection and ranging (LIDAR), or related sources."
Aerospace Engineers,"[MASK] perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft."
Agricultural Engineers,"[MASK] apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products."
Bioengineers and Biomedical Engineers,"[MASK] apply knowledge of engineering, biology, chemistry, computer science, and biomechanical principles to the design, development, and evaluation of biological, agricultural, and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems."
Chemical Engineers,"[MASK] design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering."
Civil Engineers,"[MASK] perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems."
Transportation Engineers,"[MASK] develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy."
Water/Wastewater Engineers,"[MASK] design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage."
Computer Hardware Engineers,"[MASK] research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use."
Electrical Engineers,"[MASK] research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use."
"Electronics Engineers, Except Computer","[MASK] research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties."
Radio Frequency Identification Device Specialists,[MASK] design and implement radio frequency identification device (RFID) systems used to track shipments or goods.
Environmental Engineers,"[MASK] research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines."
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","[MASK] promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws."
Fire-Prevention and Protection Engineers,"[MASK] research causes of fires, determine fire protection methods, and design or recommend materials or equipment such as structural components or fire-detection equipment to assist organizations in safeguarding life and property against fire, explosion, and related hazards."
Industrial Engineers,"[MASK] design, develop, test, and evaluate integrated systems for managing industrial production processes, including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination."
Human Factors Engineers and Ergonomists,"[MASK] design objects, facilities, and environments to optimize human well-being and overall system performance, applying theory, principles, and data regarding the relationship between humans and respective technology."
Validation Engineers,"[MASK] design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements."
Manufacturing Engineers,"[MASK] design, integrate, or improve manufacturing systems or related processes."
Marine Engineers and Naval Architects,"[MASK] design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems."
Materials Engineers,[MASK] evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications.
Mechanical Engineers,"[MASK] perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment."
Fuel Cell Engineers,"[MASK] design, evaluate, modify, or construct fuel cell components or systems for transportation, stationary, or portable applications."
Engineers,"[MASK] develop new or improved designs for vehicle structural members, engines, transmissions, or other vehicle systems, using computer-assisted design technology."
Engineer,"[MASK] design, develop, or evaluate energy-related projects or programs to reduce energy costs or improve energy efficiency during the designing, building, or remodeling stages of construction."
Mechatronics Engineers,"[MASK] research, design, develop, or test automation, intelligent systems, smart devices, or industrial systems control."
Microsystems Engineers,"[MASK] research, design, develop, or test microelectromechanical systems (MEMS) devices."
Photonics Engineers,"[MASK] design technologies specializing in light information or light energy, such as laser or fiber optics technology."
Robotics Engineers,"[MASK] research, design, develop, or test robotic applications."
Nanosystems Engineers,"[MASK] design, develop, or supervise the production of materials, devices, or systems of unique molecular or macromolecular composition, applying principles of nanoscale physics and electrical, chemical, or biological engineering."
Wind Energy Engineers,[MASK] design underground or overhead wind farm collector systems and prepare and develop site specifications.
Solar Energy Systems Engineers,"[MASK] perform site-specific engineering analysis or evaluation of energy efficiency and solar projects involving residential, commercial, or industrial customers."
Architectural and Civil Drafters,"[MASK] prepare detailed drawings of architectural and structural features of buildings or drawings and topographical relief maps used in civil engineering projects, such as highways, bridges, and public works."
Electrical and Electronics Drafters,"[MASK] prepare wiring diagrams, circuit board assembly diagrams, and layout drawings used for the manufacture, installation, or repair of electrical equipment."
Mechanical Drafters,"[MASK] prepare detailed working diagrams of machinery and mechanical devices, including dimensions, fastening methods, and other engineering information."
"Drafters, All Other",[MASK] all drafters not listed separately.
Aerospace Engineering and Operations Technologists and Technicians,"[MASK] operate, install, adjust, and maintain integrated computer/communications systems, consoles, simulators, and other data acquisition, test, and measurement instruments and equipment, which are used to launch, track, position, and evaluate air and space vehicles."
Civil Engineering Technologists and Technicians,"[MASK] apply theory and principles of civil engineering in planning, designing, and overseeing construction and maintenance of structures and facilities under the direction of engineering staff or physical scientists."
Electrical and Electronic Engineering Technologists and Technicians,"[MASK] apply electrical and electronic theory and related knowledge, usually under the direction of engineering staff, to design, build, repair, adjust, and modify electrical components, circuitry, controls, and machinery for subsequent evaluation and use by engineering staff in making engineering design decisions."
Electro-Mechanical and Mechatronics Technologists and Technicians,"[MASK] operate, test, maintain, or adjust unmanned, automated, servomechanical, or electromechanical equipment."
Robotics Technicians,"[MASK] build, install, test, or maintain robotic equipment or related automated production systems."
Environmental Engineering Technologists and Technicians,"[MASK] apply theory and principles of environmental engineering to modify, test, and operate equipment and devices used in the prevention, control, and remediation of environmental problems, including waste treatment and site remediation, under the direction of engineering staff or scientists."
Industrial Engineering Technologists and Technicians,"[MASK] apply engineering theory and principles to problems of industrial layout or manufacturing production, usually under the direction of engineering staff."
Nanotechnology Engineering Technologists and Technicians,"[MASK] implement production processes and operate commercial-scale production equipment to produce, test, or modify materials, devices, or systems of unique molecular or macromolecular composition."
Mechanical Engineering Technologists and Technicians,"[MASK] apply theory and principles of mechanical engineering to modify, develop, test, or adjust machinery and equipment under direction of engineering staff or physical scientists."
Automotive Engineering Technicians,"[MASK] assist engineers in determining the practicality of proposed product design changes and plan and carry out tests on experimental test devices or equipment for performance, durability, or efficiency."
Calibration Technologists and Technicians,"[MASK] execute or adapt procedures and techniques for calibrating measurement devices, by applying knowledge of measurement science, mathematics, physics, chemistry, and electronics, sometimes under the direction of engineering staff."
"Engineering Technologists and Technicians, Except Drafters, All Other","[MASK] all engineering technologists and technicians, except drafters, not listed separately."
Non-Destructive Testing Specialists,"[MASK] test the safety of structures, vehicles, or vessels using x-ray, ultrasound, fiber optic or related equipment."
Photonics Technicians,"[MASK] build, install, test, or maintain optical or fiber optic equipment, such as lasers, lenses, or mirrors, using spectrometers, interferometers, or related equipment."
Surveying and Mapping Technicians,"[MASK] perform surveying and mapping duties, usually under the direction of an engineer, surveyor, cartographer, or photogrammetrist, to obtain data used for construction, mapmaking, boundary location, mining, or other purposes."
Animal Scientists,"[MASK] conduct research in the genetics, nutrition, reproduction, growth, and development of domestic farm animals."
Food Scientists and Technologists,"[MASK] use chemistry, microbiology, engineering, and other sciences to study the principles underlying the processing and deterioration of foods; analyze food content to determine levels of vitamins, fat, sugar, and protein; discover new food sources; research ways to make processed foods safe, palatable, and healthful; and apply food science knowledge to determine best ways to process, package, preserve, store, and distribute food."
Soil and Plant Scientists,"[MASK] conduct research in breeding, physiology, production, yield, and management of crops and agricultural plants or trees, shrubs, and nursery stock, their growth in soils, and control of pests; or study the chemical, physical, biological, and mineralogical composition of soils as they relate to plant or crop growth."
Biochemists and Biophysicists,"[MASK] study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena."
Microbiologists,"[MASK] investigate the growth, structure, development, and other characteristics of microscopic organisms, such as bacteria, algae, or fungi."
Zoologists and Wildlife Biologists,"[MASK] study the origins, behavior, diseases, genetics, and life processes of animals and wildlife."
"Biological Scientists, All Other",[MASK] all biological scientists not listed separately.
Bioinformatics Scientists,"[MASK] conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics."
Molecular and Cellular Biologists,[MASK] research and study cellular molecules and organelles to understand cell function and organization.
Geneticists,"[MASK] research and study the inheritance of traits at the molecular, organism or population level."
Biologists,"[MASK] research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions."
Conservation Scientists,"[MASK] manage, improve, and protect natural resources to maximize their use without damaging the environment."
Range Managers,"[MASK] research or study range land management practices to provide sustained production of forage, livestock, and wildlife."
Park Naturalists,"[MASK] plan, develop, and conduct programs to inform public of historical, natural, and scientific features of national, state, or local park."
Foresters,"[MASK] manage public and private forested lands for economic, recreational, and conservation purposes."
Epidemiologists,"[MASK] investigate and describe the determinants and distribution of disease, disability, or health outcomes."
"Medical Scientists, Except Epidemiologists",[MASK] conduct research dealing with the understanding of human diseases and the improvement of human health.
"Life Scientists, All Other",[MASK] all life scientists not listed separately.
Astronomers,"[MASK] observe, research, and interpret astronomical phenomena to increase basic knowledge or apply such information to practical problems."
Physicists,"[MASK] conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories."
Atmospheric and Space Scientists,"[MASK] investigate atmospheric phenomena and interpret meteorological data, gathered by surface and air stations, satellites, and radar to prepare reports and forecasts for public and other uses."
Chemists,[MASK] conduct qualitative and quantitative chemical analyses or experiments in laboratories for quality or process control or to develop new products or knowledge.
Materials Scientists,"[MASK] research and study the structures and chemical properties of various natural and synthetic or composite materials, including metals, alloys, rubber, ceramics, semiconductors, polymers, and glass."
"Environmental Scientists and Specialists, Including Health","[MASK] conduct research or perform investigation for the purpose of identifying, abating, or eliminating sources of pollutants or hazards that affect either the environment or public health."
Climate Change Policy Analysts,[MASK] research and analyze policy developments related to climate change.
Environmental Restoration Planners,[MASK] collaborate with field and biology staff to oversee the implementation of restoration projects and to develop new products.
Industrial Ecologists,[MASK] apply principles and processes of natural ecosystems to develop models for efficient industrial systems.
"Geoscientists, Except Hydrologists and Geographers","[MASK] study the composition, structure, and other physical aspects of the Earth."
Hydrologists,"[MASK] research the distribution, circulation, and physical properties of underground and surface waters; and study the form and intensity of precipitation and its rate of infiltration into the soil, movement through the earth, and return to the ocean and atmosphere."
"Physical Scientists, All Other",[MASK] all physical scientists not listed separately.
Remote Sensing Scientists and Technologists,"[MASK] apply remote sensing principles and methods to analyze data and solve problems in areas such as natural resource management, urban planning, or homeland security."
Economists,"[MASK] conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy."
Environmental Economists,"[MASK] conduct economic analysis related to environmental protection and use of the natural environment, such as water, air, land, and renewable energy resources."
Survey Researchers,"[MASK] plan, develop, or conduct surveys."
Industrial-Organizational Psychologists,"[MASK] apply principles of psychology to human resources, administration, management, sales, and marketing problems."
Clinical and Counseling Psychologists,"[MASK] assess, diagnose, and treat mental and emotional disorders of individuals through observation, interview, and psychological tests."
School Psychologists,"[MASK] diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school."
"Psychologists, All Other",[MASK] all psychologists not listed separately.
Neuropsychologists,"[MASK] apply theories and principles of neuropsychology to evaluate and diagnose disorders of higher cerebral functioning, often in research and medical settings."
Clinical Neuropsychologists,"[MASK] assess and diagnose patients with neurobehavioral problems related to acquired or developmental disorders of the nervous system, such as neurodegenerative disorders, traumatic brain injury, seizure disorders, and learning disabilities."
Sociologists,"[MASK] study human society and social behavior by examining the groups and social institutions that people form, as well as various social, religious, political, and business organizations."
